Probability,Solvable,Runtime,Path Length,Number of Cells Processed,Number of Bumps,Number of Planning Steps,Number of Cells Determined
0.0,true,3.064695561,404.0,12492,124,143,911
0.0,true,0.934114356,340.0,9629,103,118,742
0.0,true,1.006224403,346.0,11838,110,119,744
0.0,true,0.752301289,368.0,12931,109,126,795
0.0,true,1.182259307,358.0,8114,77,90,722
0.0,true,0.559917717,388.0,13576,110,127,846
0.0,true,1.325165321,388.0,7839,87,110,829
0.0,true,1.151911518,478.0,12451,121,139,947
0.0,true,0.610517029,318.0,7937,74,87,712
0.0,true,0.867144695,366.0,12819,108,121,805
0.0,true,2.314609237,488.0,12974,122,146,1001
0.0,true,0.895392223,362.0,7772,85,99,758
0.0,true,1.352319744,514.0,19170,141,170,1028
0.0,true,0.721648058,368.0,10928,100,116,770
0.0,true,0.882639761,312.0,9347,92,103,700
0.0,true,0.368043012,338.0,9893,90,111,775
0.0,true,0.891015438,378.0,10345,98,111,800
0.0,true,0.565606779,336.0,10842,93,108,720
0.0,true,0.924646887,324.0,8838,79,92,711
0.0,true,1.064251388,278.0,9199,81,89,631
0.0,true,1.388439546,370.0,14062,117,133,772
0.0,true,1.067607669,308.0,11495,89,94,683
0.0,true,0.863349853,424.0,14776,127,149,982
0.0,true,1.156520133,434.0,11307,100,123,904
0.0,true,0.398869144,348.0,12692,103,113,785
0.0,true,0.851056088,302.0,9399,75,91,638
0.0,true,1.137771979,418.0,12557,112,130,853
0.0,true,1.494209445,392.0,9713,89,113,792
0.0,true,0.726022509,352.0,13931,102,120,765
0.0,true,1.132895178,440.0,15399,130,149,953
0.0,true,1.335567167,376.0,10026,102,117,818
0.0,true,1.201253345,336.0,10356,91,102,712
0.0,true,1.451265432,346.0,10921,79,92,698
0.0,true,0.757193187,354.0,10896,94,116,795
0.0,true,1.231995101,368.0,10265,91,106,777
0.0,true,0.852674632,448.0,12000,99,119,899
0.0,true,0.404568525,352.0,11861,108,116,788
0.0,true,0.604270075,382.0,14160,106,123,795
0.0,true,1.020536389,406.0,10838,100,120,840
0.0,true,1.774208749,550.0,19846,149,179,1102
0.0,true,1.733037431,404.0,11426,99,116,824
0.0,true,1.429684802,344.0,7764,87,99,732
0.0,true,1.38845427,396.0,9905,90,116,822
0.0,true,0.817319982,364.0,10385,88,98,764
0.0,true,1.059537516,404.0,12506,113,129,872
0.0,true,1.123318469,344.0,11180,105,113,734
0.0,true,1.11088486,408.0,12311,89,117,840
0.0,true,0.645602403,328.0,9865,92,108,727
0.0,true,0.991104791,348.0,12836,89,107,725
0.0,true,0.58269113,296.0,10068,77,83,623
0.0,true,0.760322732,370.0,10492,93,112,807
0.0,true,0.768006606,350.0,11873,99,111,717
0.0,true,1.517592375,374.0,12862,101,113,755
0.0,true,1.05215066,308.0,9624,89,97,691
0.0,true,1.530723221,296.0,9212,92,97,650
0.0,true,1.279406717,338.0,11725,93,111,723
0.0,true,1.35847344,464.0,10815,108,124,885
0.0,true,0.58073863,336.0,9666,88,96,712
0.0,true,1.204846003,300.0,9576,84,101,642
0.0,true,0.983120594,362.0,11418,101,116,745
0.0,true,0.623547114,286.0,7701,72,84,678
0.0,true,1.082561455,362.0,12693,111,127,778
0.0,true,0.543613294,360.0,12133,93,110,769
0.0,true,0.58459055,400.0,13747,101,125,845
0.0,true,0.379625992,314.0,8050,67,77,703
0.0,true,1.553438206,470.0,10541,101,121,878
0.0,true,1.057507013,334.0,11010,101,112,706
0.0,true,1.662563974,366.0,9029,73,97,751
0.0,true,1.378157626,326.0,6731,73,85,693
0.0,true,0.589070859,394.0,11862,106,125,884
0.0,true,0.67511927,342.0,11404,85,98,720
0.0,true,0.441809246,372.0,13566,101,118,795
0.0,true,0.883190398,326.0,9869,85,99,715
0.0,true,1.062779561,402.0,11588,98,121,819
0.0,true,1.109404455,490.0,12681,121,139,946
0.0,true,0.808386827,294.0,9063,81,86,654
0.0,true,1.479723874,408.0,12070,101,117,788
0.0,true,0.68523191,362.0,12043,106,119,840
0.0,true,0.962950223,328.0,7850,71,89,716
0.0,true,1.08675872,384.0,9335,79,93,777
0.0,true,1.594941338,416.0,13893,126,142,819
0.0,true,1.265669313,400.0,12271,101,123,814
0.0,true,1.186562955,470.0,12278,130,150,986
0.0,true,1.140027317,318.0,13505,97,110,694
0.0,true,0.825223143,338.0,9874,102,112,712
0.0,true,0.653085458,398.0,12567,113,127,846
0.0,true,0.636935885,290.0,8652,82,93,675
0.0,true,1.106041089,368.0,9286,83,99,772
0.0,true,0.78577221,360.0,10666,96,117,805
0.0,true,0.684198377,290.0,11558,97,108,675
0.0,true,0.835844349,454.0,12519,120,135,903
0.0,true,0.517719683,432.0,9918,99,117,953
0.0,true,0.814168649,322.0,8682,80,96,699
0.0,true,0.622894344,284.0,10816,90,101,649
0.0,true,1.134665347,410.0,11558,110,128,854
0.0,true,2.372353614,520.0,14112,127,156,1024
0.0,true,0.829642191,374.0,12033,93,103,767
0.0,true,1.384894404,350.0,10097,95,109,760
0.0,true,1.471450964,340.0,10570,82,101,708
0.0,true,1.500171109,364.0,10599,90,108,727
0.0,true,1.170593334,312.0,9764,87,99,694
0.0,true,0.88266097,374.0,13570,105,125,815
0.0,true,1.757496144,470.0,11598,126,145,953
0.0,true,0.8151576,316.0,10052,73,90,687
0.0,true,1.070547269,352.0,12476,112,122,741
0.0,true,1.761408252,580.0,17057,139,175,1113
0.0,true,1.229133895,416.0,11712,110,123,883
0.0,true,1.747691364,352.0,9152,90,100,738
0.0,true,1.984241959,346.0,9628,90,107,725
0.0,true,1.506978765,320.0,10399,99,110,697
0.0,true,2.157263724,482.0,11918,118,141,951
0.0,true,0.653133505,284.0,9269,86,94,633
0.0,true,0.710869216,396.0,13205,95,115,781
0.0,true,1.64184435,510.0,13170,130,154,954
0.0,true,1.368797256,406.0,12430,117,133,848
0.0,true,0.684869634,306.0,9067,83,94,667
0.0,true,0.815893587,394.0,10276,100,118,837
0.0,true,0.992547404,396.0,13751,120,136,875
0.0,true,1.166804448,424.0,11370,115,130,902
0.0,true,2.021533826,444.0,14478,114,143,935
0.0,true,0.898484304,508.0,15974,149,174,1108
0.0,true,0.859417075,414.0,14990,117,139,833
0.0,true,0.657516927,364.0,9500,84,98,744
0.0,true,1.042541743,332.0,10425,92,106,729
0.0,true,1.22799439,404.0,11281,109,129,839
0.0,true,0.528405505,356.0,12328,95,106,749
0.0,true,0.762309874,308.0,8198,78,87,697
0.0,true,1.172088051,506.0,19619,134,160,1036
0.0,true,0.543933317,296.0,9903,92,104,694
0.0,true,1.394606859,316.0,8331,69,85,644
0.0,true,1.525666315,448.0,13933,122,147,978
0.0,true,1.873849244,332.0,10056,77,95,688
0.0,true,1.276831774,378.0,11486,88,106,778
0.0,true,1.439909338,318.0,8784,79,92,685
0.0,true,0.739880005,338.0,9551,77,90,710
0.0,true,0.947997308,412.0,10434,96,114,855
0.0,true,0.722381675,332.0,8662,86,100,721
0.0,true,0.885486225,398.0,12638,107,128,873
0.0,true,1.316858106,348.0,10446,97,112,743
0.0,true,0.70531487,392.0,15820,111,127,792
0.0,true,0.789921773,362.0,9762,92,105,730
0.0,true,0.737393454,390.0,10611,89,110,793
0.0,true,0.685027351,364.0,12365,91,104,774
0.0,true,1.544445519,446.0,11920,103,135,904
0.0,true,0.630818179,370.0,14226,108,127,819
0.0,true,1.807775111,404.0,10687,107,125,808
0.0,true,0.919235678,384.0,12987,111,131,839
0.0,true,0.914133173,358.0,9825,92,109,759
0.0,true,1.751109427,462.0,13574,119,141,921
0.0,true,1.003628558,388.0,10490,101,118,813
0.0,true,1.012260374,360.0,11053,90,101,737
0.0,true,1.306244891,422.0,14488,126,144,900
0.0,true,1.753732782,386.0,15505,115,139,838
0.0,true,1.14319067,304.0,7025,61,72,630
0.0,true,1.214639234,404.0,10595,93,112,839
0.0,true,1.429938682,490.0,14965,162,174,1033
0.0,true,0.846583324,312.0,9941,84,100,675
0.0,true,1.416759886,422.0,11249,102,119,886
0.0,true,1.726099462,588.0,19659,152,179,1093
0.0,true,1.535887267,460.0,15830,131,157,938
0.0,true,0.702010748,294.0,9993,88,100,668
0.0,true,1.316055689,404.0,9624,92,107,817
0.0,true,1.181781017,374.0,12161,126,132,807
0.0,true,1.341906061,452.0,13927,120,139,927
0.0,true,1.73772733,368.0,11540,103,116,795
0.0,true,1.426011698,374.0,12491,108,120,767
0.0,true,1.433806545,494.0,16529,127,156,997
0.0,true,0.973873767,408.0,11121,103,125,873
0.0,true,0.708253984,376.0,10021,105,121,843
0.0,true,0.535263297,414.0,14737,125,144,824
0.0,true,0.955333039,320.0,8706,85,96,706
0.0,true,0.509072736,320.0,9910,93,104,741
0.0,true,0.86356263,292.0,7861,64,74,622
0.0,true,1.019189434,386.0,10059,96,110,787
0.0,true,0.630926857,320.0,11188,91,109,712
0.0,true,0.968753108,402.0,10369,88,111,839
0.0,true,1.20655615,414.0,12209,104,129,866
0.0,true,1.518517643,498.0,12030,105,134,944
0.0,true,1.459075723,568.0,18597,143,180,1149
0.0,true,0.747106594,382.0,11326,109,125,863
0.0,true,1.0097423,392.0,15069,99,120,792
0.0,true,0.814015166,262.0,7183,61,72,607
0.0,true,0.809717046,424.0,15222,129,152,902
0.0,true,0.795658602,334.0,9287,75,93,709
0.0,true,0.790672335,294.0,8594,75,84,672
0.0,true,0.682487785,310.0,9546,93,100,700
0.0,true,0.963677144,384.0,12872,116,135,858
0.0,true,1.184289045,328.0,9829,91,102,709
0.0,true,1.286723577,512.0,17347,145,169,1013
0.0,true,1.120729327,380.0,10808,85,113,769
0.0,true,1.352642964,450.0,11994,117,138,928
0.0,true,1.188209778,384.0,10916,103,115,801
0.0,true,1.358714302,472.0,15640,129,152,995
0.0,true,0.695504395,394.0,12447,109,130,824
0.0,true,0.917601221,348.0,10769,98,122,749
0.0,true,0.782669524,368.0,11653,95,115,767
0.0,true,1.009916176,422.0,14198,106,127,866
0.0,true,0.622271994,256.0,8082,71,79,589
0.0,true,1.059144438,344.0,10286,85,108,732
0.0,true,0.870267067,350.0,10187,85,92,720
0.0,true,1.125149803,362.0,10196,97,107,778
0.0,true,0.894662357,340.0,10132,95,109,752
0.0,true,1.468473297,396.0,13719,112,125,801
0.0,true,1.262236435,370.0,12902,104,116,789
0.0,true,1.430956869,338.0,10203,96,111,752
0.0,true,1.286194117,326.0,10304,82,97,663
0.0,true,1.204748231,338.0,9531,84,99,668
0.0,true,1.030277954,312.0,11419,90,104,685
0.0,true,1.421348712,492.0,14780,129,158,1010
0.0,true,1.301292798,318.0,6747,69,83,631
0.0,true,1.083926301,368.0,10219,89,104,772
0.0,true,0.962321548,370.0,11217,95,116,805
0.0,true,0.630056739,294.0,9779,77,88,645
0.0,true,1.36713708,460.0,10785,99,128,939
0.0,true,0.637309186,540.0,14865,140,165,1089
0.0,true,0.797695226,282.0,8605,77,90,637
0.0,true,1.033490982,368.0,9018,93,105,791
0.0,true,1.856438567,392.0,10501,97,117,780
0.0,true,1.098206618,358.0,11476,91,110,780
0.0,true,0.816831828,348.0,11188,88,101,729
0.0,true,1.247449131,490.0,13067,120,146,989
0.0,true,1.21392234,458.0,12794,111,131,915
0.0,true,0.573783676,310.0,10705,85,95,717
