Probability,Solvable,Runtime,Path Length (Repeated A*,Path Length (Discovered),Path Length (Complete),Number of Cells Processed,Runtime Weight (EC),Backtrack Steps (EC)
0.0,true,-1,416.0,-1.0,-1.0,10842,1.0,0.0
0.0,true,-1,398.0,-1.0,-1.0,9674,1.0,0.0
0.0,true,-1,334.0,-1.0,-1.0,7917,1.0,0.0
0.0,true,-1,332.0,-1.0,-1.0,6270,1.0,0.0
0.0,true,-1,388.0,-1.0,-1.0,9104,1.0,0.0
0.0,true,-1,444.0,-1.0,-1.0,13426,1.0,0.0
0.0,true,-1,452.0,-1.0,-1.0,10076,1.0,0.0
0.0,true,-1,466.0,-1.0,-1.0,14216,1.0,0.0
0.0,true,-1,314.0,-1.0,-1.0,7576,1.0,0.0
0.0,true,-1,428.0,-1.0,-1.0,11522,1.0,0.0
0.0,true,-1,398.0,-1.0,-1.0,9046,1.0,0.0
0.0,true,-1,340.0,-1.0,-1.0,10159,1.0,0.0
0.0,true,-1,338.0,-1.0,-1.0,9681,1.0,0.0
0.0,true,-1,314.0,-1.0,-1.0,8871,1.0,0.0
0.0,true,-1,434.0,-1.0,-1.0,9346,1.0,0.0
0.0,true,-1,378.0,-1.0,-1.0,9058,1.0,0.0
0.0,true,-1,388.0,-1.0,-1.0,9545,1.0,0.0
0.0,true,-1,360.0,-1.0,-1.0,8954,1.0,0.0
0.0,true,-1,332.0,-1.0,-1.0,7919,1.0,0.0
0.0,true,-1,344.0,-1.0,-1.0,8608,1.0,0.0
0.0,true,-1,342.0,-1.0,-1.0,8809,1.0,0.0
0.0,true,-1,386.0,-1.0,-1.0,8805,1.0,0.0
0.0,true,-1,418.0,-1.0,-1.0,10134,1.0,0.0
0.0,true,-1,362.0,-1.0,-1.0,8651,1.0,0.0
0.0,true,-1,352.0,-1.0,-1.0,10728,1.0,0.0
0.0,true,-1,292.0,-1.0,-1.0,7090,1.0,0.0
0.0,true,-1,356.0,-1.0,-1.0,8519,1.0,0.0
0.0,true,-1,328.0,-1.0,-1.0,8277,1.0,0.0
0.0,true,-1,408.0,-1.0,-1.0,9586,1.0,0.0
0.0,true,-1,370.0,-1.0,-1.0,7813,1.0,0.0
0.0,true,-1,380.0,-1.0,-1.0,8465,1.0,0.0
0.0,true,-1,310.0,-1.0,-1.0,9572,1.0,0.0
0.0,true,-1,350.0,-1.0,-1.0,9508,1.0,0.0
0.0,true,-1,502.0,-1.0,-1.0,12394,1.0,0.0
0.0,true,-1,550.0,-1.0,-1.0,14651,1.0,0.0
0.0,true,-1,390.0,-1.0,-1.0,10276,1.0,0.0
0.0,true,-1,300.0,-1.0,-1.0,7015,1.0,0.0
0.0,true,-1,378.0,-1.0,-1.0,7961,1.0,0.0
0.0,true,-1,400.0,-1.0,-1.0,9545,1.0,0.0
0.0,true,-1,414.0,-1.0,-1.0,11553,1.0,0.0
0.0,true,-1,354.0,-1.0,-1.0,11067,1.0,0.0
0.0,true,-1,308.0,-1.0,-1.0,7783,1.0,0.0
0.0,true,-1,384.0,-1.0,-1.0,9786,1.0,0.0
0.0,true,-1,338.0,-1.0,-1.0,10006,1.0,0.0
0.0,true,-1,514.0,-1.0,-1.0,11926,1.0,0.0
0.0,true,-1,604.0,-1.0,-1.0,20291,1.0,0.0
0.0,true,-1,376.0,-1.0,-1.0,9253,1.0,0.0
0.0,true,-1,450.0,-1.0,-1.0,12072,1.0,0.0
0.0,true,-1,432.0,-1.0,-1.0,10323,1.0,0.0
0.0,true,-1,352.0,-1.0,-1.0,9096,1.0,0.0
0.0,true,-1,332.0,-1.0,-1.0,8201,1.0,0.0
0.0,true,-1,416.0,-1.0,-1.0,9502,1.0,0.0
0.0,true,-1,360.0,-1.0,-1.0,9533,1.0,0.0
0.0,true,-1,392.0,-1.0,-1.0,7277,1.0,0.0
0.0,true,-1,274.0,-1.0,-1.0,8532,1.0,0.0
0.0,true,-1,358.0,-1.0,-1.0,9120,1.0,0.0
0.0,true,-1,412.0,-1.0,-1.0,13372,1.0,0.0
0.0,true,-1,432.0,-1.0,-1.0,8114,1.0,0.0
0.0,true,-1,542.0,-1.0,-1.0,14463,1.0,0.0
0.0,true,-1,306.0,-1.0,-1.0,8809,1.0,0.0
0.0,true,-1,364.0,-1.0,-1.0,7995,1.0,0.0
0.0,true,-1,364.0,-1.0,-1.0,10478,1.0,0.0
0.0,true,-1,370.0,-1.0,-1.0,9781,1.0,0.0
0.0,true,-1,480.0,-1.0,-1.0,10882,1.0,0.0
0.0,true,-1,274.0,-1.0,-1.0,6881,1.0,0.0
0.0,true,-1,490.0,-1.0,-1.0,13065,1.0,0.0
